2022-06
KT,14800,25/26
미니스톱,2200,24/24
KT,15500,24/24
쿠팡,2900,23/24
쿠팡,2200,23/24
씨유,2200,23/24
베이프갱스터,3600,22/29
LGU+,16300,21/30
쿠팡,10400,18/25
쿠팡,40700,15/24
쿠팡,3300,15/24
이마트,56200,13/24
쿠팡,2100,11/24
쿠팡,5900,10/12
번개장터,27600,10/12
번개장터,4500,10/12
거상,8200,10/12
티모넷,8500,10/12
쿠팡,6900,10/24
무신사,12200,10/11
쿠팡,5000,10/24
쿠팡,2100,9/24
쿠팡,2200,9/24
쿠팡,1700,9/24
쿠팡,2300,9/24
쿠팡,4200,9/24
LGU+,29400,8/10
인프런,25100,7/7
LGU+,31000,7/10
쿠팡,700,5/7
쿠팡,18300,5/7
다우데이타,12100,5/7
